Timestamp,Amount,Merchant,Location,IsFraud
17-05-2023 17:15,8557.58,Basak LLC,Hazaribagh,FALSE
20-06-2020 10:46,7581.79,Saxena-Dyal,Sikar,FALSE
18-02-2023 19:28,3706.12,"Bajwa, Badal and Toor",Panvel,FALSE
17-06-2023 18:12,4593.22,"Kibe, Loyal and Bahri",Nanded,FALSE
31-07-2021 14:26,6860.53,Kara-Gala,Satna,TRUE
06-01-2021 22:02,7341.88,Devi PLC,Anantapur,TRUE
25-11-2023 21:28,6676.61,"Sarkar, Aggarwal and Samra",Shahjahanpur,TRUE
30-07-2023 18:34,1975.36,"Chokshi, Shetty and Malhotra",Raurkela Industrial Township,TRUE
09-05-2022 01:58,7605.01,Bhardwaj-Andra,Panchkula,FALSE
11-02-2020 21:56,4366.75,"Keer, Bhatia and Saha",Delhi,FALSE
31-08-2022 07:22,323.07,Ghosh Group,Noida,FALSE
21-02-2022 04:48,827.04,"Bhakta, Kata and Dhaliwal",Panihati,FALSE
20-05-2021 15:21,7834.09,"Basu, Bains and Rao",Madanapalle,TRUE
23-05-2022 17:20,3879.25,Kanda-Hans,Maheshtala,FALSE
06-09-2022 05:42,2566.13,"Aggarwal, Choudhury and Mandal",Korba,FALSE
09-06-2020 13:43,4629.18,"Rau, Ganesan and Tara",Kanpur,FALSE
30-12-2021 19:26,9747.26,Vora Inc,Gulbarga,FALSE
19-08-2022 04:00,7199.33,Kashyap-Venkataraman,Bahraich,FALSE
30-03-2021 13:39,5635.67,Shah-Yadav,Sagar,FALSE
26-03-2022 14:03,9114.92,Yogi-Gokhale,Kanpur,TRUE
23-06-2021 23:36,5554.99,Chacko Inc,Bally,TRUE
21-09-2020 01:56,8543.02,"Lall, Garg and Manne",New Delhi,TRUE
06-05-2023 00:43,1430.31,"Swaminathan, Ramachandran and Rajagopal",Bathinda,FALSE
26-10-2022 22:34,9538.8,Dara Ltd,Munger,FALSE
07-03-2023 10:36,8807.39,"Rajagopalan, Bajaj and Chacko",Udaipur,FALSE
01-07-2020 23:44,758.57,Mandal Inc,Udaipur,FALSE
14-04-2022 23:00,230.58,Bumb and Sons,Hosur,TRUE
24-04-2021 06:14,3262.35,Golla Group,Nashik,FALSE
28-11-2020 07:12,4285.74,Varughese-Chandra,Naihati,FALSE
31-08-2023 19:20,1400.77,Anne PLC,Nagaon,TRUE
28-12-2021 00:41,7474.38,Salvi Inc,Darbhanga,FALSE
08-07-2021 16:21,4437.91,Bala-Acharya,Kamarhati,FALSE
05-03-2020 04:43,1705.57,Verma-Sur,Silchar,TRUE
23-09-2023 19:16,852.9,Tiwari-Bahri,Imphal,TRUE
05-08-2022 23:56,1692.28,Dutta and Sons,Gandhinagar,TRUE
30-06-2022 13:04,665.83,Vasa and Sons,Gudivada,FALSE
20-09-2023 19:19,4338.6,"Khurana, Khalsa and Ratta",Pallavaram,TRUE
09-06-2023 19:40,1534.4,Mani Ltd,Buxar,TRUE
05-03-2023 15:35,6573.17,"Dixit, Guha and Mall",Mango,TRUE
15-06-2021 14:38,6452.81,Malhotra Inc,Darbhanga,TRUE
13-03-2022 06:24,9336.69,Virk Inc,Davanagere,FALSE
02-07-2023 09:20,6261.71,Varghese-Warrior,Phusro,TRUE
01-09-2022 06:05,5560.27,Ravi-Luthra,Navi Mumbai,FALSE
03-07-2021 14:53,503.49,"Sampath, Kakar and Bajwa",Nangloi Jat,TRUE
10-02-2020 05:31,265.27,Doshi Inc,Sasaram,TRUE
07-02-2021 12:37,8469.18,"Sibal, Wadhwa and Jayaraman",Mathura,FALSE
01-03-2020 02:11,5438.04,Tella-Chhabra,Parbhani,TRUE
06-02-2023 20:36,2985.42,Bassi Ltd,Rourkela,FALSE
07-02-2023 23:19,2637.07,Thaker and Sons,Bhusawal,FALSE
04-09-2020 14:44,1954.54,"Sha, Thaker and Chakraborty",Malda,FALSE
09-03-2022 06:59,7415.56,Bains-Wali,Bahraich,FALSE
27-07-2020 16:13,1681.39,Bahl-Vaidya,Jalgaon,FALSE
09-06-2023 11:48,2606.89,"Garde, Sahni and Sidhu",Tiruppur,TRUE
26-03-2021 21:41,5305.04,Bansal-Sem,Mango,FALSE
12-08-2021 13:52,9364.39,Batra-Sarna,Hajipur,FALSE
16-05-2022 00:56,3008.86,"Batra, Bora and Singhal",Darbhanga,FALSE
01-09-2021 14:18,3701.73,"Dewan, Ravi and Chand",Dibrugarh,FALSE
05-10-2022 20:31,3834.83,"Chana, Brar and Bhagat",Khammam,TRUE
22-09-2020 05:30,2671.98,Srinivas Inc,Kishanganj,TRUE
23-10-2023 10:39,8240,"Chanda, Samra and Sharaf",Giridih,TRUE
05-11-2022 21:28,8807.26,Srinivasan Group,Bhusawal,TRUE
14-06-2023 16:17,5538.37,Garde-Comar,Imphal,TRUE
06-11-2022 22:55,9236.4,"Maharaj, Mane and Baria",Jaunpur,TRUE
14-05-2023 13:03,9353.31,Ramanathan PLC,Chandigarh,TRUE
25-07-2021 20:51,4903.05,Dhingra-Kurian,Pudukkottai,FALSE
07-07-2020 04:09,1859.06,Lall-Bassi,Vijayawada,TRUE
23-05-2021 14:59,1231,Dash LLC,Bongaigaon,FALSE
07-11-2022 09:50,3409.98,Kale LLC,Guwahati,FALSE
22-08-2020 22:37,1617.76,Bhalla LLC,Chittoor,TRUE
09-01-2023 03:10,9324.52,"Kalita, Amble and Vasa",Naihati,TRUE
22-07-2023 14:35,2877.32,"Sekhon, Goswami and Kara",Agartala,TRUE
13-04-2023 23:04,5414.23,"Kothari, Manne and Chaudhry",Jamshedpur,FALSE
26-06-2020 23:31,1230.21,Saxena Group,Delhi,FALSE
30-03-2020 07:27,7252.6,Bhasin-Sekhon,Agartala,TRUE
04-07-2020 15:46,391.63,"Saha, Thakur and Gala",Thoothukudi,FALSE
18-12-2022 05:03,4859.25,"Singh, Manda and Wagle",Bhubaneswar,TRUE
31-12-2020 10:09,8306.67,Hayre Group,Adoni,FALSE
04-05-2022 19:28,8488.39,Deo-Mand,Dehri,FALSE
24-05-2022 22:14,4130.49,De-Kala,Bharatpur,FALSE
11-11-2021 15:37,6864.14,Sem and Sons,Srikakulam,TRUE
30-10-2022 18:27,4503.54,Sankar PLC,Ambarnath,TRUE
11-01-2023 18:20,9057.93,Gola-Upadhyay,Pimpri-Chinchwad,TRUE
23-06-2023 04:57,4205.3,Master-Kara,Surat,FALSE
20-10-2023 13:58,5450.96,Kurian Ltd,Burhanpur,TRUE
30-01-2021 14:13,2072.22,"Chokshi, Chopra and Mahajan",Berhampore,FALSE
05-02-2022 17:18,4793.06,"Kaur, Khosla and Ratti",Kollam,TRUE
01-07-2022 15:12,2793.96,Johal-Kant,Rewa,FALSE
16-03-2023 08:22,1956.58,"Shan, Shetty and D’Alia",Bardhaman,TRUE
17-03-2021 18:31,8015.65,Sathe-Dhar,Malegaon,FALSE
19-02-2022 18:23,7667.19,Trivedi LLC,Panihati,TRUE
28-12-2022 19:52,5958.24,"Shah, Swamy and Garg",Shimla,TRUE
17-05-2022 10:51,5733.03,"Sekhon, Guha and Bala",Gopalpur,FALSE
13-10-2021 16:05,8046.43,Ram and Sons,Nashik,FALSE
11-06-2020 07:25,7409.07,Balay Group,Nagpur,TRUE
31-10-2021 09:36,7055.19,"Seth, Kapadia and Som",Noida,TRUE
03-07-2021 12:49,8817.19,"Chacko, Agarwal and Sankaran",Bhalswa Jahangir Pur,TRUE
23-08-2022 16:55,5278.95,Khare-Srivastava,Tumkur,TRUE
15-11-2022 20:02,24.75,"Swaminathan, Wagle and Gade",Guntakal,FALSE
01-02-2023 04:55,6670.11,"Gour, Sood and Koshy",Deoghar,FALSE
05-01-2020 17:27,4350.11,"Aurora, Kota and Sharma",Agra,TRUE
29-02-2020 15:16,2475.17,Bhavsar-Chawla,Bhind,FALSE
14-11-2022 03:29,4372.88,Banik Ltd,Ichalkaranji,TRUE
11-05-2020 09:54,8653.8,Gill-Malhotra,Kollam,FALSE
07-06-2021 12:27,6788.92,"Guha, Kalla and Chandran",Jamalpur,TRUE
28-04-2021 18:13,7973.6,"Sengupta, Sant and Deshpande",Ozhukarai,TRUE
19-01-2022 06:55,6906.64,Madan-Mani,Nashik,TRUE
05-10-2020 16:24,2104.13,Anne-Magar,Kadapa,FALSE
14-02-2020 23:57,4092.75,Gara-Issac,Dindigul,TRUE
12-07-2022 01:12,9078.71,Kalla PLC,Panvel,TRUE
08-08-2023 19:22,1783.22,Thaker-Varghese,Bidhannagar,FALSE
29-09-2020 13:49,3670.63,Sule Group,Mahbubnagar,FALSE
14-11-2020 23:41,5356.65,Ratta Inc,Agra,FALSE
26-07-2023 05:34,784.36,Mannan Inc,Bihar Sharif,FALSE
11-01-2021 13:47,4204.7,Dutt Ltd,Silchar,FALSE
05-04-2023 03:11,9095.45,Handa-Majumdar,Mangalore,FALSE
19-12-2022 08:04,7150.77,Doctor-Hegde,Silchar,FALSE
12-01-2023 10:34,9449.6,Sabharwal LLC,Katihar,TRUE
18-08-2023 12:08,2690.66,Agate-Char,Gandhidham,FALSE
29-06-2020 20:35,9003.31,Bail Group,Panchkula,FALSE
08-07-2023 12:30,8879.71,Jain Inc,Morbi,TRUE
04-08-2022 16:33,6804.93,Wable Inc,Hapur,TRUE
08-03-2020 14:13,4977.42,Suri-Tailor,Chennai,FALSE
04-12-2023 03:14,4498.85,Sabharwal Inc,Belgaum,TRUE
10-12-2022 07:37,462.15,Barad-Madan,Kishanganj,TRUE
15-03-2022 05:43,2345.13,Borra-Randhawa,Tadipatri,FALSE
22-12-2023 03:19,5445.94,"Chhabra, Rege and Chakrabarti",Buxar,FALSE
13-06-2020 03:49,2521.03,Zacharia-Tank,Bokaro,TRUE
02-01-2024 11:33,3264.16,"Dhar, Kumer and Dani",Udupi,FALSE
28-06-2021 02:55,1039.72,"Sharma, Gera and Wadhwa",Sangli-Miraj & Kupwad,FALSE
25-08-2020 21:13,1703.19,"Bora, Bhagat and Apte",Rajkot,FALSE
14-04-2021 17:17,3335.87,Lanka LLC,Nagaon,TRUE
27-10-2021 20:18,2121.24,Raja Group,Thanjavur,FALSE
06-07-2021 10:07,9707.94,"Dube, Babu and Bajaj",Asansol,TRUE
17-02-2022 13:58,1755.7,Issac-Kulkarni,Thiruvananthapuram,FALSE
30-11-2023 11:04,5789.51,"Hayre, Iyer and Bora",Madanapalle,FALSE
24-03-2022 15:15,4891.96,"Sangha, Sanghvi and Talwar",Gwalior,TRUE
22-11-2023 18:08,4644.67,Bera PLC,Ranchi,FALSE
29-04-2020 12:10,6820.84,Kala PLC,North Dumdum,TRUE
10-09-2021 21:27,499.86,"Goda, Edwin and Vig",Proddatur,TRUE
13-12-2020 16:45,8454.48,"De, Maharaj and Shenoy",Thane,FALSE
27-09-2023 21:19,362.1,Jani-Varughese,Chittoor,FALSE
15-08-2020 21:18,3679.01,"Dugal, Atwal and Chokshi",Hosur,FALSE
11-10-2020 00:43,205.69,Chakraborty Ltd,Jehanabad,TRUE
24-12-2021 01:35,1429.13,"Bhargava, Barman and Sampath",Suryapet,FALSE
01-10-2022 15:23,3192.52,Taneja Inc,Machilipatnam,TRUE
17-10-2023 01:42,9478.58,Krishnamurthy and Sons,Coimbatore,FALSE
30-04-2020 11:37,8351.95,Hari PLC,Kishanganj,TRUE
14-06-2022 21:34,2879.9,Ganesh-Dube,Warangal,TRUE
29-07-2020 14:17,7314.11,Ratti Group,Patna,TRUE
06-05-2022 14:21,9615.25,Thakur and Sons,Shimla,TRUE
22-10-2020 16:42,2480.47,Venkataraman Ltd,Mysore,TRUE
03-09-2023 22:04,1924.5,Dora LLC,Nashik,TRUE
21-11-2020 19:07,5674.05,Mandal and Sons,Alwar,FALSE
21-12-2021 02:42,1075.15,"Chaudhari, Jayaraman and Kari",Bellary,TRUE
29-07-2023 22:50,1543,Som PLC,Udaipur,FALSE
30-04-2022 17:38,5799.31,"Bobal, Dash and Chad",Jamshedpur,FALSE
15-05-2020 00:23,3191.04,Chada LLC,Tiruvottiyur,TRUE
07-12-2023 10:24,3501.57,Chaudhry-Reddy,Gaya,FALSE
18-07-2022 06:26,3490.25,Din-Balakrishnan,Tinsukia,TRUE
24-05-2021 15:59,4433.02,"Devan, Tak and Sampath",Mumbai,FALSE
09-02-2023 21:22,8599.42,Koshy PLC,Tadipatri,FALSE
04-06-2020 13:43,9357.03,Sethi-Sahni,Khammam,TRUE
16-01-2023 06:52,1975.22,"Ramakrishnan, Chawla and Balay",Agartala,TRUE
03-07-2020 18:21,9861.27,Ram-Bhattacharyya,Dindigul,FALSE
03-03-2023 09:59,9849.22,"Raval, Rastogi and Batra",Sonipat,FALSE
11-09-2020 01:43,3047.51,Saxena LLC,Shahjahanpur,FALSE
06-11-2023 21:33,4440.89,Brar-Mane,Yamunanagar,FALSE
01-08-2022 23:13,1151.89,Sood-Brar,Rewa,FALSE
21-03-2023 08:13,2645.95,"Deshpande, Sawhney and Goel",Motihari,TRUE
10-01-2020 03:57,5901.56,Thaker-Seth,Dibrugarh,TRUE
04-04-2020 00:15,5915.47,Kothari Group,Bharatpur,TRUE
21-01-2020 18:05,1937.03,Ahuja-Kakar,Panvel,FALSE
24-07-2022 15:46,7637.67,"Srinivasan, Halder and Dhar",Nadiad,FALSE
09-05-2021 05:45,9167.56,Doshi PLC,Pune,TRUE
25-02-2023 19:22,5291.35,Guha Group,Sirsa,FALSE
04-02-2023 23:00,566.87,Tripathi Group,Gandhinagar,FALSE
28-06-2020 02:31,7773.81,"Bhagat, Kala and Balasubramanian",Shivpuri,TRUE
13-06-2021 09:26,2819.57,Rajan-Som,Rohtak,FALSE
01-05-2023 15:46,2369.13,Bose-Batra,Bahraich,FALSE
19-04-2022 07:32,4391.14,Chowdhury-Korpal,Pudukkottai,FALSE
05-01-2023 17:12,8974.2,Raman-Dewan,Bahraich,TRUE
06-07-2020 01:02,9553.35,"Saha, Dugal and Reddy",Tiruchirappalli,FALSE
11-04-2020 21:34,5902.34,Chakraborty-Subramaniam,Secunderabad,TRUE
18-03-2023 05:08,2874.06,"Dash, Bala and Balan",Surendranagar Dudhrej,TRUE
19-02-2022 20:22,7778.46,"Kurian, Choudhary and Gill",Danapur,FALSE
20-05-2023 10:59,9807.5,"Chauhan, Joshi and Chakraborty",Faridabad,FALSE
29-11-2020 17:34,2986.19,Shukla Group,Kottayam,TRUE
01-03-2020 08:36,184.31,Viswanathan and Sons,Erode,FALSE
12-07-2022 09:47,2378.14,Randhawa LLC,Ongole,TRUE
03-02-2022 16:34,2043.07,"Korpal, Dube and Ramanathan",North Dumdum,TRUE
02-12-2020 02:18,8959.76,Singhal Inc,Gangtok,FALSE
23-07-2022 02:48,9208.59,Bedi-Kale,Sasaram,TRUE
29-05-2021 16:21,9847.03,Krishna Group,Dharmavaram,FALSE
11-09-2021 11:51,1749.44,Ramaswamy-Jayaraman,Vasai-Virar,FALSE
12-10-2021 05:45,5760.33,Bhavsar-Varma,Bhubaneswar,TRUE
18-10-2020 02:45,6871.14,Sama-Vala,Madanapalle,FALSE
23-04-2023 02:00,1028.54,Dewan-Wable,Sri Ganganagar,TRUE
21-10-2021 09:51,8037.74,Loyal Inc,Raurkela Industrial Township,TRUE
20-06-2020 14:09,3731.13,Banik-Kara,Karaikudi,FALSE
12-08-2021 03:49,6840.28,Ganguly PLC,Suryapet,TRUE
20-02-2022 09:30,2728.02,Desai-Gaba,Siwan,FALSE
09-03-2022 20:03,771.07,"Yohannan, Kunda and Divan",Nangloi Jat,FALSE
19-04-2020 02:56,3320.93,"Saran, Batta and Rout",Jamalpur,TRUE
07-02-2021 01:37,1266.65,Kala PLC,Hyderabad,TRUE
06-08-2023 14:31,9155.11,Kurian Ltd,Kharagpur,TRUE
04-06-2023 19:45,6029.53,Deol-Saini,Agartala,TRUE
30-10-2021 22:37,8158.08,"Trivedi, Sule and Grover",Pimpri-Chinchwad,TRUE
30-06-2020 08:41,4549.31,"Kumer, Wason and Raju",Madanapalle,FALSE
03-02-2022 18:23,5122.72,"Sachdeva, Bora and Kaur",Dhanbad,FALSE
26-06-2022 12:24,1551.78,"Rastogi, Bhargava and Sagar",Guwahati,FALSE
09-04-2020 09:54,192.46,Wagle LLC,Sirsa,TRUE
23-12-2023 21:57,6665.96,Lal PLC,Jalandhar,TRUE
19-10-2022 22:30,9632.99,"Soman, Divan and Chakraborty",Malegaon,TRUE
30-06-2021 23:53,2391.78,Bath-Shanker,Kurnool,FALSE
25-04-2023 14:41,3885.71,Sridhar Inc,Muzaffarnagar,TRUE
08-09-2021 14:50,1268.48,"Dua, Goyal and Sridhar",Bidhannagar,TRUE
28-02-2022 03:45,5238.11,Raja-Randhawa,Ajmer,FALSE
20-02-2020 04:23,1370.84,Sundaram-Batra,Saharanpur,FALSE
10-05-2022 23:22,4081.36,Lal Inc,Pimpri-Chinchwad,FALSE
10-03-2023 10:53,9490.26,Ganesan-Rajagopal,Motihari,FALSE
26-05-2022 00:30,2993.99,Sunder-Wali,Rourkela,TRUE
07-07-2022 19:30,5416.54,Salvi Ltd,Bihar Sharif,TRUE
18-01-2021 14:00,5413.32,Khurana PLC,South Dumdum,FALSE
04-10-2020 20:59,2182.19,"Sengupta, Kashyap and Bir",Mahbubnagar,TRUE
02-11-2020 21:03,7119.21,"Uppal, Loyal and Hayer",Ludhiana,TRUE
23-01-2021 04:58,8195.49,"Halder, Kurian and Bhatti",Tiruvottiyur,TRUE
16-08-2023 07:00,3820.21,Sachdev and Sons,Raiganj,FALSE
28-12-2020 06:29,4098.71,Bhatt Ltd,Kadapa,TRUE
18-12-2022 19:17,7372.48,Desai PLC,Bhusawal,TRUE
13-07-2020 04:23,7090.68,"Hans, Sastry and Mann",Patiala,FALSE
29-05-2021 00:50,5825.26,Garg-Tara,Khandwa,TRUE
17-08-2022 11:23,4671.87,Barad-Joshi,Ramagundam,FALSE
01-01-2021 12:15,6092.75,"Bhatnagar, Kothari and Dass",Nizamabad,TRUE
29-03-2021 21:22,53.66,Badal Ltd,Ramgarh,FALSE
26-02-2020 18:40,5487.41,"Dhillon, Bal and Sehgal",North Dumdum,FALSE
09-10-2021 22:31,6884.26,Yohannan-Vohra,Ghaziabad,TRUE
06-08-2020 17:46,37.01,Manne PLC,Bihar Sharif,FALSE
29-11-2020 05:17,4121.84,"Dutta, Sama and Agate",Thoothukudi,FALSE
23-08-2020 10:34,5714.31,Upadhyay-Chander,Agra,FALSE
26-11-2020 14:20,1069.5,Thakkar-Keer,Gandhidham,FALSE
03-06-2023 07:33,6899.91,Bora-Kalla,Allahabad,TRUE
10-02-2022 15:04,324.3,"Salvi, Kala and Majumdar",Hyderabad,TRUE
02-09-2021 10:01,6615.92,"Sarraf, Gara and Roy",Khora ,FALSE
09-02-2021 20:04,7323.63,Chaudhari-Magar,Unnao,TRUE
02-03-2022 10:27,3021.7,Keer Inc,Shimla,FALSE
09-03-2023 00:21,7794.75,Thakur LLC,Kota,TRUE
04-02-2020 01:50,5842.3,"Gour, Bhatia and Tara",Gandhinagar,TRUE
05-02-2020 22:15,8524.89,Kalla-Srivastava,Kota,FALSE
11-04-2020 08:21,2891.93,Dass Inc,Karaikudi,TRUE
22-09-2023 21:11,1837.12,Deshpande-Dhillon,Morena,TRUE
19-07-2021 17:36,5985.12,Shah Ltd,Nagaon,FALSE
26-04-2021 00:52,8320.72,Saraf-Bhat,Gopalpur,TRUE
03-02-2020 10:37,3567.67,Shan-Lad,Guntakal,TRUE
14-04-2023 11:21,1129.58,"Brar, Wali and Ratta",Jodhpur,FALSE
05-03-2021 04:30,8610.25,Srinivas LLC,Dibrugarh,TRUE
22-03-2021 17:22,7755.9,Shere Inc,Sri Ganganagar,FALSE
28-04-2023 06:51,7440.25,Balan-Grover,Ichalkaranji,TRUE
20-09-2023 18:20,6481.58,Comar-Dhawan,Burhanpur,FALSE
27-04-2023 17:46,5870.24,Behl PLC,Tezpur,TRUE
13-02-2022 17:00,2129.81,"Sundaram, Bora and Konda",Bhagalpur,FALSE
05-06-2020 07:42,2700.11,Toor-Sandal,Amroha,FALSE
06-08-2023 20:46,1741.05,Aurora Ltd,Bongaigaon,TRUE
07-04-2023 18:26,2070.37,"Sandal, Anand and Kalita",Firozabad,FALSE
16-12-2021 04:54,7421.11,"Guha, Sani and Dash",Aizawl,FALSE
13-07-2021 23:07,9245.28,Chaudhari Inc,Ludhiana,TRUE
11-07-2023 18:42,8138.51,"Kala, Khalsa and Dada",Asansol,FALSE
09-01-2022 05:29,3235.6,Bala-Yohannan,Shivpuri,FALSE
12-04-2022 13:21,1092.27,"Dhar, Bedi and Gupta",Navi Mumbai,TRUE
20-11-2023 17:31,6426.13,"Viswanathan, Sahni and Bala",Raichur,FALSE
26-03-2021 20:35,7395.41,Bora Inc,Motihari,FALSE
13-03-2022 09:54,1295.1,Vaidya-Vora,Parbhani,TRUE
01-11-2022 09:58,2851.54,Sastry-Iyengar,Dewas,FALSE
18-03-2022 08:21,2214.92,Bajwa and Sons,Uluberia,FALSE
14-05-2020 19:35,4485.7,Goel and Sons,Bhubaneswar,TRUE
09-01-2022 05:13,204.51,Mallick-Kamdar,Amroha,FALSE
29-04-2023 05:34,5582.05,Hayer Group,Rajahmundry,FALSE
03-07-2022 19:36,6055.07,"Bhalla, De and Vohra",Giridih,FALSE
02-01-2021 02:11,8851.16,"Rege, Raval and Kala",Solapur,TRUE
10-04-2020 01:47,4626.62,"Sarkar, Acharya and Kaul",Haridwar,FALSE
25-03-2021 02:10,3478.58,Master-Bhardwaj,Ozhukarai,TRUE
16-02-2023 01:11,6906.92,"Dua, Yadav and Rao",Jammu,FALSE
14-05-2021 11:11,9646.52,Anand Ltd,Bangalore,FALSE
18-11-2021 03:53,9578.38,"Deshmukh, Jaggi and Gaba",Jamnagar,FALSE
26-08-2021 15:15,1224.3,Loke LLC,Salem,TRUE
28-01-2020 09:50,7896.67,Yogi LLC,Tezpur,FALSE
29-01-2021 04:57,8960.37,"Gala, Saha and Dass",Alappuzha,TRUE
17-02-2022 16:02,9418.47,"Handa, Thakur and Sandhu",Nandyal,TRUE
14-03-2023 05:23,2779.68,Shere-Sankaran,Anantapur,TRUE
02-08-2023 01:03,3315.41,Bhatt LLC,North Dumdum,TRUE
19-08-2021 12:17,1114.57,Bhalla Group,Mau,TRUE
18-04-2021 21:40,9670.04,Vyas Inc,Mango,FALSE
24-05-2022 08:16,1279.69,Tiwari LLC,Munger,TRUE
14-10-2022 03:15,480.85,"Hans, Chakrabarti and Brahmbhatt",Hindupur,TRUE
01-07-2021 03:33,2864.08,"Buch, Badami and Shah",Tadepalligudem,TRUE
14-05-2022 15:40,6307.49,Bahl-Ranganathan,Jalgaon,TRUE
30-08-2020 18:48,8310.79,Swaminathan Inc,Unnao,TRUE
23-11-2021 15:45,4559.97,Raja-Gala,Pallavaram,TRUE
24-06-2022 11:41,1958.68,"Srivastava, Kala and Master",Dhule,TRUE
01-08-2021 22:28,4604.53,Aggarwal-Sehgal,Purnia,FALSE
23-12-2023 13:29,4990.25,"Sampath, Lata and Thaman",Etawah,TRUE
10-11-2021 14:31,7292.49,"Ghosh, Sanghvi and Kala",Jabalpur,TRUE
15-05-2022 16:32,471.98,Atwal-Handa,Rajahmundry,TRUE
28-09-2020 00:16,7041.39,Raman LLC,Tirunelveli,TRUE
